Siding Code,Siding Name,Serving Station,Division,Zone,State,Type,Industry,Remarks,Latitude,Longitude
,,,,,,,,,,
"GCB Siding,  Paradeep Port Trust",CBSP,Paradeep,Khurda,East Coast Railway ,,,,,,
Paradeep Port Manual Iron Ore unloading Siding under PPT,PPSM,Paradeep,Khurda,East Coast Railway ,,,,,,
Paradeep Port Tippler Iron Ore unloading Siding under PPT,PPTG,Paradeep,Khurda,East Coast Railway ,,,,,,
"ADB Coal Handling plant, PPT",PPAP,Paradeep,Khurda,East Coast Railway ,,,,,,
"IOC Siding, Paradeep",IOSP,Paradeep,Khurda,East Coast Railway ,,,,,,
HPCL siding Paradeep,HPPK,Paradeep,Khurda,East Coast Railway ,,,,,,
Paradeep Phosphate Ltd Paradeep,PRPL,Paradeep,Khurda,East Coast Railway ,,,,,,
"Paradeep Phosphate Ltd(Gypsum loading plant), Paradeep",PPGP,Paradeep,Khurda,East Coast Railway ,,,,,,
"Ananta Colliery Siding, Talcher",ACTR,Talcher,Khurda,East Coast Railway ,Odisha,Mine,Coal,,"20.94796439636926, 85.15766832907627",85.15766833
"South Balanda-Jagannath Colliery Siding,Talcher",SBCT,Talcher,Khurda,East Coast Railway ,,,,,,
Bharatpur Private siding of MCL,BCMT,Talcher,Khurda,East Coast Railway ,,,,,20.94749061,85.12240102
"DB Colliery siding, Talcher",DBCS,Talcher,Khurda,East Coast Railway ,,,,,,
"TTPS Siding, Talcher",TLTM,Talcher,Khurda,East Coast Railway ,,,,,,
"NTPC Exchange Yard Siding, Talcher",NEYT,Talcher Road,Khurda,East Coast Railway ,,,,,,
"NALCO's Smelter/Captive Power Plant, Budhapank",SCPM,Budhapank,Khurda,East Coast Railway ,,,,,,
"M/s Aarati Steel Ltd., Siding,Ghantikhal Niddhipur",ASGN,Ghantikhal Nidhipur,Khurda,East Coast Railway ,,,,,,
"Indian Metals and Ferro Alloys Ltd., Charbatia",ICCC,Charbatia,Khurda,East Coast Railway ,,,,,,
"M/s OCL India Ltd, Byree",MOIB,Byree,Khurda,East Coast Railway ,,,,,,
    ,NINS,Sukinda Road,Khurda,East Coast Railway ,,,,,,
"FCI siding, Khurda Road",FCKR,Khurda Road,Khurda,East Coast Railway ,,,,,,
"IOC siding, Khurda Road",IOK,Khurda Road,Khurda,East Coast Railway ,,,,,,
"HPCL's LPG Bottling Plant, Khurda Road",HLBK,Khurda Road,Khurda,East Coast Railway ,,,,,,
Indian Rare Earth Limited. Chatrapur,IREL,Chatrapur,Khurda,East Coast Railway ,,,,,,
"Jayashri Chemical ltd, Ganjam",JCLG,Ganjam,Khurda,East Coast Railway ,,,,,,
"Bhusan Steel Ltd, Meramandali",MBMB,Mermandali,Khurda,East Coast Railway ,,,,,,
Amausi HPCL POL Siding,AMS,Amausi,,,,,,I/W FOR HPCL ONLY,"26.77001546500292, 80.83602146497665",